,SSP1-1.9,SSP1-1.9,SSP1-1.9,SSP1-2.6,SSP1-2.6,SSP1-2.6,SSP2-4.5,SSP2-4.5,SSP2-4.5,SSP3-7.0,SSP3-7.0,SSP3-7.0,SSP5-8.5,SSP5-8.5,SSP5-8.5
Year,raw_obs,smooth_obs,forced_resp,raw_obs,smooth_obs,forced_resp,raw_obs,smooth_obs,forced_resp,raw_obs,smooth_obs,forced_resp,raw_obs,smooth_obs,forced_resp
2010,1.06,1.003,1,1.06,1.003,1,1.06,1.003,1,1.06,1.003,1,1.06,1.003,1
2011,0.95,1.01,1.02,0.95,1.01,1.02,0.95,1.01,1.02,0.95,1.01,1.02,0.95,1.01,1.02
2012,1,1.024,1.04,1,1.024,1.04,1,1.024,1.04,1,1.024,1.04,1,1.024,1.04
2013,1.03,1.058,1.06,1.03,1.058,1.06,1.03,1.058,1.06,1.03,1.058,1.06,1.03,1.058,1.06
2014,1.08,1.136,1.08,1.08,1.136,1.08,1.08,1.136,1.08,1.08,1.136,1.08,1.08,1.136,1.08
2015,1.23,1.184,1.1,1.23,1.184,1.1,1.23,1.184,1.1,1.23,1.184,1.1,1.23,1.184,1.1
2016,1.34,1.212,1.12,1.34,1.212,1.12,1.34,1.212,1.12,1.34,1.212,1.12,1.34,1.212,1.12
2017,1.24,1.254,1.14,1.24,1.254,1.14,1.24,1.254,1.14,1.24,1.254,1.14,1.24,1.254,1.14
2018,1.17,1.268,1.16,1.17,1.268,1.16,1.17,1.268,1.16,1.17,1.268,1.16,1.17,1.268,1.16
2019,1.29,1.236,1.18,1.29,1.236,1.18,1.29,1.236,1.18,1.29,1.236,1.18,1.29,1.236,1.18
2020,1.3,1.228,1.2,1.3,1.228,1.2,1.3,1.228,1.2,1.3,1.228,1.2,1.3,1.228,1.2
2021,1.18,1.29,1.22,1.18,1.29,1.22,1.18,1.29,1.22,1.18,1.29,1.22,1.18,1.29,1.22
2022,1.2,1.352,1.24,1.2,1.352,1.24,1.2,1.352,1.24,1.2,1.352,1.24,1.2,1.352,1.24
2023,1.48,1.365,1.26,1.48,1.365,1.26,1.48,1.365,1.26,1.48,1.365,1.26,1.48,1.365,1.26
2024,1.6,1.427,1.28,1.6,1.427,1.28,1.6,1.427,1.28,1.6,1.427,1.28,1.6,1.427,1.28
2025,1.47,1.47,1.3,1.47,1.47,1.3,1.47,1.47,1.3,1.47,1.47,1.3,1.47,1.47,1.3
2026,1.48,1.48,1.312,1.48,1.48,1.316,1.49,1.49,1.328,1.5,1.5,1.332,1.51,1.51,1.344
2027,1.48,1.48,1.324,1.49,1.49,1.332,1.51,1.51,1.356,1.52,1.52,1.364,1.54,1.54,1.388
2028,1.49,1.49,1.336,1.5,1.5,1.348,1.53,1.53,1.384,1.55,1.55,1.396,1.58,1.58,1.432
2029,1.49,1.49,1.348,1.51,1.51,1.364,1.55,1.55,1.412,1.57,1.57,1.428,1.62,1.62,1.476
2030,1.5,1.5,1.36,1.52,1.52,1.38,1.58,1.58,1.44,1.6,1.6,1.46,1.66,1.66,1.52
2031,1.5,1.5,1.372,1.53,1.53,1.396,1.6,1.6,1.468,1.62,1.62,1.492,1.69,1.69,1.564
2032,1.51,1.51,1.384,1.53,1.53,1.412,1.62,1.62,1.496,1.65,1.65,1.524,1.73,1.73,1.608
2033,1.51,1.51,1.396,1.54,1.54,1.428,1.64,1.64,1.524,1.67,1.67,1.556,1.77,1.77,1.652
2034,1.52,1.52,1.408,1.55,1.55,1.444,1.66,1.66,1.552,1.7,1.7,1.588,1.8,1.8,1.696
2035,1.52,1.52,1.42,1.56,1.56,1.46,1.68,1.68,1.58,1.72,1.72,1.62,1.84,1.84,1.74
2036,1.53,1.53,1.432,1.57,1.57,1.476,1.7,1.7,1.608,1.75,1.75,1.652,1.88,1.88,1.784
2037,1.53,1.53,1.444,1.58,1.58,1.492,1.72,1.72,1.636,1.77,1.77,1.684,1.92,1.92,1.828
2038,1.54,1.54,1.456,1.59,1.59,1.508,1.75,1.75,1.664,1.8,1.8,1.716,1.95,1.95,1.872
2039,1.54,1.54,1.468,1.6,1.6,1.524,1.77,1.77,1.692,1.82,1.82,1.748,1.99,1.99,1.916
2040,1.55,1.55,1.48,1.61,1.61,1.54,1.79,1.79,1.72,1.85,1.85,1.78,2.03,2.03,1.96
2041,1.55,1.55,1.492,1.62,1.62,1.556,1.81,1.81,1.748,1.87,1.87,1.812,2.07,2.07,2.004
2042,1.56,1.56,1.504,1.63,1.63,1.572,1.83,1.83,1.776,1.9,1.9,1.844,2.1,2.1,2.048
2043,1.56,1.56,1.516,1.64,1.64,1.588,1.85,1.85,1.804,1.92,1.92,1.876,2.14,2.14,2.092
2044,1.57,1.57,1.528,1.64,1.64,1.604,1.87,1.87,1.832,1.95,1.95,1.908,2.18,2.18,2.136
2045,1.57,1.57,1.54,1.65,1.65,1.62,1.89,1.89,1.86,1.97,1.97,1.94,2.21,2.21,2.18
2046,1.58,1.58,1.552,1.66,1.66,1.636,1.92,1.92,1.888,2,2,1.972,2.25,2.25,2.224
2047,1.58,1.58,1.564,1.67,1.67,1.652,1.94,1.94,1.916,2.02,2.02,2.004,2.29,2.29,2.268
2048,1.59,1.59,1.576,1.68,1.68,1.668,1.96,1.96,1.944,2.05,2.05,2.036,2.33,2.33,2.312
2049,1.59,1.59,1.588,1.69,1.69,1.684,1.98,1.98,1.972,2.07,2.07,2.068,2.36,2.36,2.356
2050,1.6,1.6,1.6,1.7,1.7,1.7,2,2,2,2.1,2.1,2.1,2.4,2.4,2.4
